part	man	module
C48-16R20-41P9-106	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R20Y28P-402	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R22-19S8-102	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R22-55P8-102	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R22-55P9-106	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R22-55S8-106	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R22Y32P6-402	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R24-57S-106	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R24-57S9-106	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R24-61P-106	Cinch Connectivity Solutions	Cinch Connectors_LC
C48-16R24-61P6-102	Cinch Connectivity Solutions	Cinch Connectors_LC
C4FP2840	nVent	nVent_Schroff
C4FP2840SS	nVent	nVent_Schroff
C4FP3340	nVent	nVent_Schroff
C4FP4253	nVent	nVent_Schroff
C4FP4253SS	nVent	nVent_Schroff
C4FP4560	nVent	nVent_Schroff
C4FP4560SS	nVent	nVent_Schroff
C4KBFP2653	nVent	nVent_Schroff
C4KBFP2660	nVent	nVent_Schroff
C4KBKP2653	nVent	nVent_Schroff
C4KBKP2660	nVent	nVent_Schroff
C4V-821A	Omron	Omron
C500-CE403	Omron	Omron
C500-CE404	Omron	Omron
C5005	Pulse Electronics	Pulse Electronics Corporation
C53TP50DCH	Sensata Technologies	Sensata Technologies
C53TP50DDH-10	Sensata Technologies	Sensata Technologies
C57-51	Parker Hannifin	Parker Hannifin
C62-00-46000004	Honeywell	Honeywell
C62-00-46400004	Honeywell	Honeywell
C63DV 923010	Intel	Intel_LC
C72202-74039-AMBER	Marathon Special Products	Marathon Special Products
C82-00-43000004	Honeywell	Honeywell
C82-00-460000S4	Honeywell	Honeywell
C82-00-46000E04	Honeywell	Honeywell
C82-00-46001J04	Honeywell	Honeywell
C82-00-46400004	Honeywell	Honeywell
C82-00-46E00P04	Honeywell	Honeywell
C83-00-43400004	Honeywell	Honeywell
C83-00-43600004	Honeywell	Honeywell
C83-00-46040004	Honeywell	Honeywell
C93-00-43000004	Honeywell	Honeywell
C93-00-43400004	Honeywell	Honeywell
C93-00-46E01004	Honeywell	Honeywell
CA-10	Sensata Technologies	Sensata Technologies
CA00665.00C03	Belden	Belden
CA00665.00C10	Belden	Belden
CA26WV	Legrand	Legrand
CA3079H	Rochester Electronics	Rochester Electronics
CA3102R14S-1S-F80-A232	ITT Inc	ITT Corporation
CA3140AM96	Rochester Electronics	Rochester Electronics
CA8064901406400S R0Y8	Intel	Intel_LC
CA8064901406802S R115	Intel	Intel_LC
CAB-DB15-V4A4S0	MaxLinear	MaxLinear, Inc
CAB-LFH-V16A0S0	MaxLinear	MaxLinear, Inc
CAL-1008	UC Components, Inc	UC COMPONENTS
CAL-810	UC Components, Inc	UC COMPONENTS
CAM104	nVent	nVent_Schroff
CAM122	nVent	nVent_Schroff
CAM64	nVent	nVent_Schroff
CAM84	nVent	nVent_Schroff
CAPFMFL-S1	Belden	Belden
CAPFMUS-S1	Belden	Belden
CASY-1435-2	Parker Hannifin	Parker Hannifin
CASY-1435-3	Parker Hannifin	Parker Hannifin
CASY-1444	Parker Hannifin	Parker Hannifin
CASY-1451	Parker Hannifin	Parker Hannifin
CASY-1648	Parker Hannifin	Parker Hannifin
CASY-1697	Parker Hannifin	Parker Hannifin
CASY-1742	Parker Hannifin	Parker Hannifin
CASY-1743	Parker Hannifin	Parker Hannifin
CASY-2028-02	Parker Hannifin	Parker Hannifin
CASY-2028-03	Parker Hannifin	Parker Hannifin
CASY-2028-04-S3	Parker Hannifin	Parker Hannifin
CASY-2028-05	Parker Hannifin	Parker Hannifin
CASY-2028-05-S3	Parker Hannifin	Parker Hannifin
CASY-2033	Parker Hannifin	Parker Hannifin
CASY-2039	Parker Hannifin	Parker Hannifin
CASY-2103	Parker Hannifin	Parker Hannifin
CASY-2109	Parker Hannifin	Parker Hannifin
CASY-2117	Parker Hannifin	Parker Hannifin
CASY-2142	Parker Hannifin	Parker Hannifin
CASY-2143-S3	Parker Hannifin	Parker Hannifin
CASY-2153	Parker Hannifin	Parker Hannifin
CASY-2210	Parker Hannifin	Parker Hannifin
CASY-2242	Parker Hannifin	Parker Hannifin
CASY-2257	Parker Hannifin	Parker Hannifin
CASY-2316	Parker Hannifin	Parker Hannifin
CASY-2322	Parker Hannifin	Parker Hannifin
CASY-2322-S3	Parker Hannifin	Parker Hannifin
CASY-2324	Parker Hannifin	Parker Hannifin
CASY-2324-S3	Parker Hannifin	Parker Hannifin
CASY-2326	Parker Hannifin	Parker Hannifin
CASY-2327	Parker Hannifin	Parker Hannifin
CASY-2327-S3	Parker Hannifin	Parker Hannifin
CASY-2344	Parker Hannifin	Parker Hannifin
CASY-2344-S3	Parker Hannifin	Parker Hannifin
CASY-2353	Parker Hannifin	Parker Hannifin
CASY-2392	Parker Hannifin	Parker Hannifin
CASY-2408	Parker Hannifin	Parker Hannifin
CASY-2448	Parker Hannifin	Parker Hannifin
CASY-2696	Parker Hannifin	Parker Hannifin
CASY-2697	Parker Hannifin	Parker Hannifin
CASY-2728	Parker Hannifin	Parker Hannifin
CASY-2729	Parker Hannifin	Parker Hannifin
CASY-2731	Parker Hannifin	Parker Hannifin
CASY-2776	Parker Hannifin	Parker Hannifin
CASY-2778	Parker Hannifin	Parker Hannifin
CASY-2780	Parker Hannifin	Parker Hannifin
CASY-2783	Parker Hannifin	Parker Hannifin
CASY-2786	Parker Hannifin	Parker Hannifin
CASY-2788	Parker Hannifin	Parker Hannifin
CASY-2792	Parker Hannifin	Parker Hannifin
CASY-2794	Parker Hannifin	Parker Hannifin
CASY-2797	Parker Hannifin	Parker Hannifin
CASY-2798	Parker Hannifin	Parker Hannifin
CASY-2802	Parker Hannifin	Parker Hannifin
CASY-2871	Parker Hannifin	Parker Hannifin
CASY-2881	Parker Hannifin	Parker Hannifin
CASY-2901	Parker Hannifin	Parker Hannifin
CASY-2903	Parker Hannifin	Parker Hannifin
CASY-2942	Parker Hannifin	Parker Hannifin
CASY-2971	Parker Hannifin	Parker Hannifin
CASY-2976	Parker Hannifin	Parker Hannifin
CASY-2983	Parker Hannifin	Parker Hannifin
CASY-3053	Parker Hannifin	Parker Hannifin
CASY-3064	Parker Hannifin	Parker Hannifin
CASY-3074	Parker Hannifin	Parker Hannifin
CASY-3092	Parker Hannifin	Parker Hannifin
CASY-3117	Parker Hannifin	Parker Hannifin
CASY-3134	Parker Hannifin	Parker Hannifin
CASY-3163	Parker Hannifin	Parker Hannifin
CASY-3177	Parker Hannifin	Parker Hannifin
CASY-3178	Parker Hannifin	Parker Hannifin
CASY-3179	Parker Hannifin	Parker Hannifin
CASY-3227	Parker Hannifin	Parker Hannifin
CASY-3292	Parker Hannifin	Parker Hannifin
CASY-3388	Parker Hannifin	Parker Hannifin
CASY-3619	Parker Hannifin	Parker Hannifin
CASY-3652	Parker Hannifin	Parker Hannifin
CASY-3658	Parker Hannifin	Parker Hannifin
CASY-3670	Parker Hannifin	Parker Hannifin
CASY-3683	Parker Hannifin	Parker Hannifin
CASY-3728	Parker Hannifin	Parker Hannifin
CASY-3873	Parker Hannifin	Parker Hannifin
CASY-3878	Parker Hannifin	Parker Hannifin
CASY-3915	Parker Hannifin	Parker Hannifin
CASY-4154	Parker Hannifin	Parker Hannifin
CASY-4277	Parker Hannifin	Parker Hannifin
CASY-4278	Parker Hannifin	Parker Hannifin
CASY-4279	Parker Hannifin	Parker Hannifin
CASY-4346	Parker Hannifin	Parker Hannifin
CASY-4357	Parker Hannifin	Parker Hannifin
CASY-4367	Parker Hannifin	Parker Hannifin
CASY-4394	Parker Hannifin	Parker Hannifin
CAT-10-75	Mini-Circuits	Mini-Circuits_LC
CATL5300	Bossard Group	Bossard Group
CB 2 16 01A	Marathon Special Products	Marathon Special Products
CB258S-1-10	MKS Instruments	MKS Instruments
CB6MMBK-B100	Belden	Belden
CB7MMBK-B100	Belden	Belden
CB82597EX 851966	Intel	Intel_LC
CB8MMBK-B100	Belden	Belden
CBA-U09-C15ZAR	Zebra Technologies	Zebra Technologies
CBA70-14SL-CY	Panduit	Panduit
CBCX68 BK Tin/Lead	Central Semiconductor	Central Semiconductor
CBCX68-16 TR Tin/Lead	Central Semiconductor	Central Semiconductor
CBE2NA	Intel	Intel_LC
CBH4045LG	nVent	nVent_Schroff
CBJ70FL	Cinch Connectivity Solutions	Cinch Connectors_LC
CBLCS-PS2-3M	MISUMI Group	MISUMI Group
CBLMSITOBCP	Intel	Intel_LC
CBPF-355-1+	Mini-Circuits	Mini-Circuits_LC
CBR1-100 TIN/LEAD	Central Semiconductor	Central Semiconductor
CBR1060	Central Semiconductor	Central Semiconductor
CBRD	Panduit	Panduit
CBRD-2G	Panduit	Panduit
CBRORS-3-10	MKS Instruments	MKS Instruments
CC0402BRNPO9BN680	Yageo	Yageo_LC
CC0402CPNPO9BN150	Yageo	Yageo_LC
CC0402KCX7R9BB331	Yageo	Yageo_LC
CC0603JCX7R9BB561	Yageo	Yageo_LC
CC0603JPX7R8BB471	Yageo	Yageo_LC
CC0603KCX7R7BB103	Yageo	Yageo_LC
CC0805JRNPO7BN331	Yageo	Yageo_LC
CC0805JRNPO8BN182	Yageo	Yageo_LC
CC0805KKX7R9BB683L	Yageo	Yageo_LC
CC2016B	Belden	Belden
CC2425D1V	Sensata Technologies	Sensata Technologies
CC2425D2URH	Sensata Technologies	Sensata Technologies
CC2425D4VH	Sensata Technologies	Sensata Technologies
CC2425E3U	Sensata Technologies	Sensata Technologies
CC2425E3UR	Sensata Technologies	Sensata Technologies
CC2450E3V	Sensata Technologies	Sensata Technologies
CC2450E4U	Sensata Technologies	Sensata Technologies
CC2450E4V	Sensata Technologies	Sensata Technologies
CC2450W1U	Sensata Technologies	Sensata Technologies
CC4825E3U	Sensata Technologies	Sensata Technologies
CC4825E3UH	Sensata Technologies	Sensata Technologies
CC4825E4U	Sensata Technologies	Sensata Technologies
CC4825E4VH	Sensata Technologies	Sensata Technologies
CC4825W1V	Sensata Technologies	Sensata Technologies
CC4825W4VR	Sensata Technologies	Sensata Technologies
CC4825W4VRH	Sensata Technologies	Sensata Technologies
CC4850E1UR	Sensata Technologies	Sensata Technologies
CC4850E1VR	Sensata Technologies	Sensata Technologies
CCB01-010BT-V7N	Honeywell	Honeywell
CCB05-100BT-07N	Honeywell	Honeywell
CCB404515LG-743MV	nVent	nVent_Schroff
CCC284014PD	nVent	nVent_Schroff
CCC284014PN	nVent	nVent_Schroff
CCC284014PNK	nVent	nVent_Schroff
CCC334014PD	nVent	nVent_Schroff
CCC334014PN	nVent	nVent_Schroff
CCC334026HPD	nVent	nVent_Schroff
CCC334026HPN	nVent	nVent_Schroff
CCC334026HPNK	nVent	nVent_Schroff
CCC425326HPD	nVent	nVent_Schroff
CCC425326HPN	nVent	nVent_Schroff
CCC425326HPNK	nVent	nVent_Schroff
CCC456029PD	nVent	nVent_Schroff
CCC456029PN	nVent	nVent_Schroff
CCH2840	nVent	nVent_Schroff
CCH3340	nVent	nVent_Schroff
CCH4253	nVent	nVent_Schroff
CCH81-S10-X	Panduit	Panduit
CCS2EHD	nVent	nVent_Schroff
CCS2FC	nVent	nVent_Schroff
CD4081BCN_NL	Rochester Electronics	Rochester Electronics
CD4825W2UR	Sensata Technologies	Sensata Technologies
CD5-4	Cinch Connectivity Solutions	Cinch Connectors_LC
CD5-8	Cinch Connectivity Solutions	Cinch Connectors_LC
CD70-14-QY	Panduit	Panduit
CD8067303328000S R37K	Intel	Intel_LC
CD8067303405800S R3B2	Intel	Intel_LC
CD8067303533002 SR3LJ	Intel	Intel_LC
CD8067303535601S R3GB	Intel	Intel_LC
CDC122055UC-000	ebm-papst	ebm-papst
CDK3405CTQ48X	MaxLinear	MaxLinear, Inc
CDN491	MKS Instruments	MKS Instruments
CDP1854ACD/3	Rochester Electronics	Rochester Electronics
CEB002	MaxLinear	MaxLinear, Inc
CEB003	MaxLinear	MaxLinear, Inc
CEB004	MaxLinear	MaxLinear, Inc
CEB005	MaxLinear	MaxLinear, Inc
CEB012_A	MaxLinear	MaxLinear, Inc
CEB021_B	MaxLinear	MaxLinear, Inc
CEB021_C	MaxLinear	MaxLinear, Inc
CEB022	MaxLinear	MaxLinear, Inc
CEB2307	MaxLinear	MaxLinear, Inc
CEP100F22-2CB	Panduit	Panduit
CEP100F22-6CB	Panduit	Panduit
CEP100F22-7CB	Panduit	Panduit
CF-54DP-08VM	Panasonic Industry	Panasonic_Global
CF.92.42	igus	igus
CF14-02-02-02-CAT5	igus	igus
CF2-15-07	igus	igus
CF2.15.03	igus	igus
CF300-350-01	igus	igus
CF310-100-01	igus	igus
CF310-40-01	igus	igus
CF34-60-05	igus	igus
CF35-160-04	igus	igus
CF35-250-04	igus	igus
CF35-60-04	igus	igus
CF42X7R102K2000AH	Kyocera	Kyocera
CF43CH102J1000AT	Kyocera	Kyocera
CF7-07-04	igus	igus
CF7-07-18	igus	igus
CF8-07-03	igus	igus
CFN-30-52	igus	igus
CFP3KPS48FE	XP Power	XP Power
CFP4KPS48FE	XP Power	XP Power
CFR-FR	BURNDY	BURNDY
CFR100GB-73-47K	Yageo	Yageo_LC
CFR100GR-52-100R	Yageo	Yageo_LC
CFR100GR-52-330R	Yageo	Yageo_LC
CFR200GB-73-82K	Yageo	Yageo_LC
CFX-12-3	igus	igus
CFX12-2E	igus	igus
CG3211QIR	Integrated Silicon Solution Inc	Integrated Silicon Solution Inc
CH31-S10	Panduit	Panduit
CH80566EC005DT S LGPR	Intel	Intel_LC
CH80566EC005DW S LGPQ	Intel	Intel_LC
CH80566EE014DT S LGPP	Intel	Intel_LC
CHDL55	nVent	nVent_Schroff
CHESKK3050PT	Bossard Group	Bossard Group
CHLOCC4	nVent	nVent_Schroff
CHO-FOIL CCJ-L4746	Parker Hannifin	Parker Hannifin
CID2RU-DEV	Panduit	Panduit
CID2RU16-20DW1	Panduit	Panduit
CID3RU-DEV	Panduit	Panduit
CID9396/N	Panduit	Panduit
CIM089P5-0N	SAURO s.r.l.	SAURO
CJ150-24A	Cinch Connectivity Solutions	Cinch Connectors_LC
CJ1G-CPU42P	Omron	Omron
CJ1W-AD042	Omron	Omron
CJ1W-BAT01	Omron	Omron
CJ1W-MC472	Omron	Omron
CJ1W-NC133	Omron	Omron
CJ1W-NCF71	Omron	Omron
CJ1W-PA205C	Omron	Omron
CJ1W-PNT21	Omron	Omron
CJ1W-PTS51	Omron	Omron
CJ1W-SCU31-V1	Omron	Omron
CJ1W-SCU32	Omron	Omron
CJ2H-CPU64-EIP	Omron	Omron
CJ2M-CPU34	Omron	Omron
CJ2M-MD212	Omron	Omron
CJ3150-29	Cinch Connectivity Solutions	Cinch Connectors_LC
CJ370-7	Cinch Connectivity Solutions	Cinch Connectors_LC
CJ588TRD	Panduit	Panduit
CJ70-55	Cinch Connectivity Solutions	Cinch Connectors_LC
CJ70-60	Cinch Connectivity Solutions	Cinch Connectors_LC
CJ70-8	Cinch Connectivity Solutions	Cinch Connectors_LC
CJ70C-303	Cinch Connectivity Solutions	Cinch Connectors_LC
CJA5E88TGBL	Panduit	Panduit
CJD200 TR13 Tin/Lead	Central Semiconductor	Central Semiconductor
CJD2955 BK Tin/Lead	Central Semiconductor	Central Semiconductor
CJD2955 TR13 Tin/Lead	Central Semiconductor	Central Semiconductor
CJD47 TR13 Tin/Lead	Central Semiconductor	Central Semiconductor
CJD50 TR13 Tin/Lead	Central Semiconductor	Central Semiconductor
CK022100-GY2-300275	Parker Hannifin	Parker Hannifin
CK1601-7R-9G	Bel Power Solutions	Bel Power Solutions
CK30V-DOCK LOCK	Honeywell	Honeywell
CK30V-DOCKKIT DT	Honeywell	Honeywell
CK30V-DOCKKIT PC	Honeywell	Honeywell
CK3RAB4S000W440A	Honeywell	Honeywell
CK3XAA4M000W4100	Honeywell	Honeywell
CK3XAA4M000W4400	Honeywell	Honeywell
CK3XAB4K000W4100	Honeywell	Honeywell
CK3XAB4K000W4400	Honeywell	Honeywell
CK3XAB4M000W4400	Honeywell	Honeywell
CK3XV-DOCKKIT AC	Honeywell	Honeywell
CK71AA6EC00W1400	Honeywell	Honeywell
CK71AA6EC00W4100	Honeywell	Honeywell
CK71AA6EN00W1400	Honeywell	Honeywell
CK71AA6EN00W4100	Honeywell	Honeywell
CK71AA6MC00W1400	Honeywell	Honeywell
CK71AA6MC00W4100	Honeywell	Honeywell
CK71AA6MN00W1100	Honeywell	Honeywell
CK71AA6MN00W1400	Honeywell	Honeywell
CK71AB6EC00W1400	Honeywell	Honeywell
CK71AB6EC00W4100	Honeywell	Honeywell
CK71AB6EN00W1400	Honeywell	Honeywell
CK71AB6MC00W1100	Honeywell	Honeywell
CKBC26535	nVent	nVent_Schroff
CKBC26605	nVent	nVent_Schroff
CKRD6020P	Sensata Technologies	Sensata Technologies
CL-0411-619	Brady Corporation	Brady Corporation
CL-105-607	Brady Corporation	Brady Corporation
CL-111-619	Brady Corporation	Brady Corporation
CL-2808-K	UC Components, Inc	UC COMPONENTS
CL-311-619	Brady Corporation	Brady Corporation
CL-517-621	Brady Corporation	Brady Corporation
CL160808B-1R5K-S	Pulse Electronics	Pulse Electronics Corporation
CL160808B-1R5M-S	Pulse Electronics	Pulse Electronics Corporation
CL160808T-100M-N	Pulse Electronics	Pulse Electronics Corporation
CL160808T-1R5M-S	Pulse Electronics	Pulse Electronics Corporation
CL160808T-2R2K-S	Pulse Electronics	Pulse Electronics Corporation
CL160808T-2R7K-N	Pulse Electronics	Pulse Electronics Corporation
CL160808T-33NM-N	Pulse Electronics	Pulse Electronics Corporation
CL160808T-3R3K-N	Pulse Electronics	Pulse Electronics Corporation
CL160808T-R56K-N	Pulse Electronics	Pulse Electronics Corporation
CL160808T-R56M-N	Pulse Electronics	Pulse Electronics Corporation
CL201209T-R10K-N	Pulse Electronics	Pulse Electronics Corporation
CL201209T-R82M-N	Pulse Electronics	Pulse Electronics Corporation
CL201212T-100K-N	Pulse Electronics	Pulse Electronics Corporation
CL201212T-3R3M-N	Pulse Electronics	Pulse Electronics Corporation
CL201212T-3R9K-N	Pulse Electronics	Pulse Electronics Corporation
CL8064701462800S R16H	Intel	Intel_LC
CL8064701479801S R1DM	Intel	Intel_LC
CL8064701483802S R17W	Intel	Intel_LC
CL8064701483902S R17M	Intel	Intel_LC
CL8064701484002S R17N	Intel	Intel_LC
CL8064701528402S R17X	Intel	Intel_LC
CL8064701528404S R195	Intel	Intel_LC
CL8064701956200 SR1ZX	Intel	Intel_LC
CL8066202191415S R2FN	Intel	Intel_LC
CL8066202194729 SR2FS	Intel	Intel_LC
CL8066202194730S R2FL	Intel	Intel_LC
CL8067702998607S R34S	Intel	Intel_LC
CL8067702999007S R34V	Intel	Intel_LC
CL8067702999106S R34W	Intel	Intel_LC
CL8067703022209S R34X	Intel	Intel_LC
CL8067703400904S R3EZ	Intel	Intel_LC
CL8067703401003S R3F0	Intel	Intel_LC
CL8068403359116S R3YX	Intel	Intel_LC
CL8068403359725S R3YZ	Intel	Intel_LC
CLC1003IST5EVB	MaxLinear	MaxLinear, Inc
CLC1005ISO8EVB	MaxLinear	MaxLinear, Inc
CLC1005IST5EVB	MaxLinear	MaxLinear, Inc
CLC1006ISO8	MaxLinear	MaxLinear, Inc
CLC1007ISO8	MaxLinear	MaxLinear, Inc
CLC1007ISO8EVB	MaxLinear	MaxLinear, Inc
CLC1007IST5EVB	MaxLinear	MaxLinear, Inc
CLC1008IST5X	MaxLinear	MaxLinear, Inc
CLC1200ISO8EVB	MaxLinear	MaxLinear, Inc
CLC1200ISO8MTR	MaxLinear	MaxLinear, Inc
CLC2007ISO8	MaxLinear	MaxLinear, Inc
CLC2011ISO8EVB	MaxLinear	MaxLinear, Inc
CLC2023ASO8	MaxLinear	MaxLinear, Inc
CLC2023ASO8X	MaxLinear	MaxLinear, Inc
CLC2550ISO8X	MaxLinear	MaxLinear, Inc
CLC2605ISO8EVB	MaxLinear	MaxLinear, Inc
CLC4007ISO14EVB	MaxLinear	MaxLinear, Inc
CLC4007ITP14EVB	MaxLinear	MaxLinear, Inc
CLC4011ISO14EVB	MaxLinear	MaxLinear, Inc
CLC4050ISO14EVB	MaxLinear	MaxLinear, Inc
CLC4601ISO14	MaxLinear	MaxLinear, Inc
CLCE4257ES1 S LJJT	Intel	Intel_LC
CLDP031X312MDP	SPIROL International Corporation	SPIROL International Corporation
CLH1608T-10NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-12NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-12NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-12NK-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-15NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-15NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-18NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-18NK-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-1N0S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-1N2S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-1N5S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-1N8S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-22NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-22NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-22NK-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-27NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-27NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-27NK-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-2N2S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-2N7J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-2N7S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-33NK-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-39NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-39NK-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-3N3K-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-3N3S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-3N9K-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-3N9S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-47NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-47NK-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-4N7K-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-4N7K-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-4N7S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-56NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-56NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-5N6S-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-68NJ-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-68NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-6N8J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-6N8J-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-82NJ-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-8N2J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-8N2J-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R10J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R10J-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R15J-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R18J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R22J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R22K-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R27J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R27J-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R33J-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R39J-N	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R39J-S	Pulse Electronics	Pulse Electronics Corporation
CLH1608T-R47J-S	Pulse Electronics	Pulse Electronics Corporation
CLI/P-EP7	Ferroxcube	Ferroxcube International Holding B.V.
CLL2003 TIN/LEAD	Central Semiconductor	Central Semiconductor
CLL3595TRPBFREE	Central Semiconductor	Central Semiconductor
CLL4107	Central Semiconductor	Central Semiconductor
CLL4110	Central Semiconductor	Central Semiconductor
CLL4125	Central Semiconductor	Central Semiconductor
CLL4150 TIN/LEAD	Central Semiconductor	Central Semiconductor
CLL4150 TR TIN/LEAD	Central Semiconductor	Central Semiconductor
CLL4623 PBFREE	Central Semiconductor	Central Semiconductor
CLL5221B PBFREE	Central Semiconductor	Central Semiconductor
CLL5231C	Central Semiconductor	Central Semiconductor
CLL5231D	Central Semiconductor	Central Semiconductor
CLL5232C	Central Semiconductor	Central Semiconductor
CLL5243B	Continental Device India Limited	Continental Device India Limited
CLL5251B	Continental Device India Limited	Continental Device India Limited
CLL5252B TR TIN/LEAD	Central Semiconductor	Central Semiconductor
CLM-E14/PLT14	Ferroxcube	Ferroxcube International Holding B.V.
CLM-EFD15	Ferroxcube	Ferroxcube International Holding B.V.
CLM-EFD20	Ferroxcube	Ferroxcube International Holding B.V.
CLM-EQ20/PLT20	Ferroxcube	Ferroxcube International Holding B.V.
CLS40FRSB-EX	Marinco	Marinco
CLT25N-630	Panduit	Panduit
CLT62N-630	Panduit	Panduit
CM-S1PC3	Omron	Omron
CM-S221PC5	Omron	Omron
CM-S2PC3	Omron	Omron
CM03CG101J25AH	Kyocera	Kyocera
CM03X5R104K06AH	Kyocera	Kyocera
CM05CG0R5B50AH	Kyocera	Kyocera
CM05CG121J50AH	Kyocera	Kyocera
CM05CG150J50AN	Kyocera	Kyocera
CM05CG390J50AH	Kyocera	Kyocera
CM05CG560J50AH	Kyocera	Kyocera
CM05CG680J50AH	Kyocera	Kyocera
CM05CH150J50AH	Kyocera	Kyocera
CM05X5R105K06AH	Kyocera	Kyocera
CM05X5R105K25AH-NK	Kyocera	Kyocera
CM05X5R105M06AH	Kyocera	Kyocera
CM05X5R475M04AH	Kyocera	Kyocera
CM05X6T475M06AH-NK	Kyocera	Kyocera
CM05X7R331K50AH	Kyocera	Kyocera
CM05X7R471J50AT	Kyocera	Kyocera
CM05X7R472K25AH	Kyocera	Kyocera
CM105CG181J50AT	Kyocera	Kyocera
CM105CG270J50AT	Kyocera	Kyocera
CM105CG271J50AL	Kyocera	Kyocera
CM105CG2R0C50AT	Kyocera	Kyocera
CM105CG331J50AH	Kyocera	Kyocera
CM105CG331J50AT	Kyocera	Kyocera
CM105CG3R3C50AT	Kyocera	Kyocera
CM105CG680J50AT	Kyocera	Kyocera
CM105X5R104K25AT	Kyocera	Kyocera
CM105X5R225K06AL	Kyocera	Kyocera
CM105X5R474K16AT	Kyocera	Kyocera
CM105X5R474K25AT	Kyocera	Kyocera
CM105X6S106M10AT-NK	Kyocera	Kyocera
CM105X7R102J50AT	Kyocera	Kyocera
CM105X7R103K50AL	Kyocera	Kyocera
CM105X7R104K25AN	Kyocera	Kyocera
CM105X7R224K10AN	Kyocera	Kyocera
CM105X7R332K50AL	Kyocera	Kyocera
CM1200HA-24J	Powerex	Powerex
CM200CU-12NFH	Powerex	Powerex
CM200DC-24NFM	Powerex	Powerex
CM21CG101J100AT	Kyocera	Kyocera
CM21CG101J50AL	Kyocera	Kyocera
CM21CG180J50AT	Kyocera	Kyocera
