part	man	module
19200320272	HARTING Technology Group	Harting Technology Group_Rohs
1920969	PHOENIX CONTACT	PHOENIX CONTACT_2
192302	Festo SE & Co. KG	Festo AG & Co. KG_LC
1923076	PHOENIX CONTACT	PHOENIX CONTACT_2
1923733	PHOENIX CONTACT	PHOENIX CONTACT_2
1923869	PHOENIX CONTACT	PHOENIX CONTACT_2
1923979	PHOENIX CONTACT	PHOENIX CONTACT_2
1923995	PHOENIX CONTACT	PHOENIX CONTACT_2
1924088	PHOENIX CONTACT	PHOENIX CONTACT_2
1924101	PHOENIX CONTACT	PHOENIX CONTACT_2
1924965	PHOENIX CONTACT	PHOENIX CONTACT_2
1925	Daburn Electronics & Cable	Daburn Electronics & Cable
192564	Festo SE & Co. KG	Festo AG & Co. KG_LC
192566	Festo SE & Co. KG	Festo AG & Co. KG_LC
192567	Festo SE & Co. KG	Festo AG & Co. KG_LC
192681-1R5	National Instruments	National Instruments
1928404773	Bosch	Bosch
1928404916	Bosch	Bosch
1928404917	Bosch	Bosch
1928404993	Bosch	Bosch
1928822	PHOENIX CONTACT	PHOENIX CONTACT_2
192965	Festo SE & Co. KG	Festo AG & Co. KG_LC
19300240282	HARTING Technology Group	Harting Technology Group_Rohs
19300240292	HARTING Technology Group	Harting Technology Group_Rohs
19300240476	HARTING Technology Group	Harting Technology Group_Rohs
19302060446	HARTING Technology Group	Harting Technology Group_Rohs
19307061541	HARTING Technology Group	Harting Technology Group_Rohs
1931644	PHOENIX CONTACT	PHOENIX CONTACT_2
1932630	PHOENIX CONTACT	PHOENIX CONTACT_2
1932818	PHOENIX CONTACT	PHOENIX CONTACT_2
1933341	PHOENIX CONTACT	PHOENIX CONTACT_2
1933532	PHOENIX CONTACT	PHOENIX CONTACT_2
1935271	PHOENIX CONTACT	PHOENIX CONTACT_2
1936296	PHOENIX CONTACT	PHOENIX CONTACT_2
19370031252	HARTING Technology Group	Harting Technology Group_Rohs
19370480298	HARTING Technology Group	Harting Technology Group_Rohs
1939646	PHOENIX CONTACT	PHOENIX CONTACT_2
19398161123	HARTING Technology Group	Harting Technology Group_Rohs
19398161125	HARTING Technology Group	Harting Technology Group_Rohs
19398161133	HARTING Technology Group	Harting Technology Group_Rohs
19398161135	HARTING Technology Group	Harting Technology Group_Rohs
193988 DSNU-12-70-PPV-A	Festo SE & Co. KG	Festo AG & Co. KG_LC
19400240579	HARTING Technology Group	Harting Technology Group_Rohs
19400240585	HARTING Technology Group	Harting Technology Group_Rohs
19400240655	HARTING Technology Group	Harting Technology Group_Rohs
19400249918	HARTING Technology Group	Harting Technology Group_Rohs
1940211	PHOENIX CONTACT	PHOENIX CONTACT_2
1940363	PHOENIX CONTACT	PHOENIX CONTACT_2
19410065403	HARTING Technology Group	Harting Technology Group_Rohs
1941113	PHOENIX CONTACT	PHOENIX CONTACT_2
1942413	PHOENIX CONTACT	PHOENIX CONTACT_2
1942743	PHOENIX CONTACT	PHOENIX CONTACT_2
19430060330	HARTING Technology Group	Harting Technology Group_Rohs
19430160226	HARTING Technology Group	Harting Technology Group_Rohs
19430160266	HARTING Technology Group	Harting Technology Group_Rohs
194321	Festo SE & Co. KG	Festo AG & Co. KG_LC
1943250	PHOENIX CONTACT	PHOENIX CONTACT_2
1943373	PHOENIX CONTACT	PHOENIX CONTACT_2
1943412	PHOENIX CONTACT	PHOENIX CONTACT_2
1943470	PHOENIX CONTACT	PHOENIX CONTACT_2
1944479	PHOENIX CONTACT	PHOENIX CONTACT_2
1944929	PHOENIX CONTACT	PHOENIX CONTACT_2
1945180	PHOENIX CONTACT	PHOENIX CONTACT_2
1947971	PHOENIX CONTACT	PHOENIX CONTACT_2
194E-A16-NP	Rockwell Automation	Rockwell Automation_LC
1950298	PHOENIX CONTACT	PHOENIX CONTACT_2
1950641	PHOENIX CONTACT	PHOENIX CONTACT_2
1950670	PHOENIX CONTACT	PHOENIX CONTACT_2
1952814	PHOENIX CONTACT	PHOENIX CONTACT_2
1952827	PHOENIX CONTACT	PHOENIX CONTACT_2
19539	Festo SE & Co. KG	Festo AG & Co. KG_LC
196008	Festo SE & Co. KG	Festo AG & Co. KG_LC
1961180	PHOENIX CONTACT	PHOENIX CONTACT_2
19620031252	HARTING Technology Group	Harting Technology Group_Rohs
1962066	PHOENIX CONTACT	PHOENIX CONTACT_2
1962079	PHOENIX CONTACT	PHOENIX CONTACT_2
1962671	PHOENIX CONTACT	PHOENIX CONTACT_2
19628240429	HARTING Technology Group	Harting Technology Group_Rohs
1968523	PHOENIX CONTACT	PHOENIX CONTACT_2
1969483	PHOENIX CONTACT	PHOENIX CONTACT_2
1969881	PHOENIX CONTACT	PHOENIX CONTACT_2
1970333	PHOENIX CONTACT	PHOENIX CONTACT_2
1971183	PHOENIX CONTACT	PHOENIX CONTACT_2
197132	Festo SE & Co. KG	Festo AG & Co. KG_LC
1971604	PHOENIX CONTACT	PHOENIX CONTACT_2
1971798	PHOENIX CONTACT	PHOENIX CONTACT_2
197546-01	National Instruments	National Instruments
197600	Festo SE & Co. KG	Festo AG & Co. KG_LC
1982062	PHOENIX CONTACT	PHOENIX CONTACT_2
1982142	Festo SE & Co. KG	Festo AG & Co. KG_LC
1984086	PHOENIX CONTACT	PHOENIX CONTACT_2
1984138	PHOENIX CONTACT	PHOENIX CONTACT_2
1984714	PHOENIX CONTACT	PHOENIX CONTACT_2
1984743	PHOENIX CONTACT	PHOENIX CONTACT_2
1984976	PHOENIX CONTACT	PHOENIX CONTACT_2
1985247	PHOENIX CONTACT	PHOENIX CONTACT_2
1985289	PHOENIX CONTACT	PHOENIX CONTACT_2
1992777	PHOENIX CONTACT	PHOENIX CONTACT_2
1992793	PHOENIX CONTACT	PHOENIX CONTACT_2
1994924	PHOENIX CONTACT	PHOENIX CONTACT_2
1996016	PHOENIX CONTACT	PHOENIX CONTACT_2
1996045	PHOENIX CONTACT	PHOENIX CONTACT_2
19980-M	Leviton Manufacturing Co., Inc	Leviton
19K107-K00L5	Rosenberger Hochfrequenztechnik GmbH & Co. KG	Rosenberger Hochfrequenztechnik GmbH & Co. KG
19P21-G	Leviton Manufacturing Co., Inc	Leviton
19P21-H	Leviton Manufacturing Co., Inc	Leviton
19P22-B	Leviton Manufacturing Co., Inc	Leviton
19R21-B	Leviton Manufacturing Co., Inc	Leviton
1C343-18-12	Parker Hannifin	Parker Hannifin
1CA43-22-12	Parker Hannifin	Parker Hannifin
1CPSA2A	Honeywell	Honeywell
1FK7042-2AF74-1SA1	Siemens	Siemens
1KSMB47CA	Littelfuse	Littelfuse_Reach
1KSMB68CA	Littelfuse	Littelfuse_Reach
1M230TM-1	Coaxial Components Corp	Coaxial Components
1N 98	New Jersey Semiconductor	New Jersey Semi-Conductor
1N1186	Elite Semiconductor Products	Elite Semiconductor Products
1N1204A	Elite Semiconductor Products	Elite Semiconductor Products
1N277-2D	Leviton Manufacturing Co., Inc	Leviton
1N3001B	Central Semiconductor	Central Semiconductor
1N3003B	Central Semiconductor	Central Semiconductor
1N3011B	Central Semiconductor	Central Semiconductor
1N3210	Elite Semiconductor Products	Elite Semiconductor Products
1N3314B	Central Semiconductor	Central Semiconductor
1N3314RB	Central Semiconductor	Central Semiconductor
1N4151	Semtech Electronics Limited	Semtech Electronics Limited
1N4447	Semtech Electronics Limited	Semtech Electronics Limited
1N4689	Semtech Electronics Limited	Semtech Electronics Limited
1N4692	Semtech Electronics Limited	Semtech Electronics Limited
1N4697	Semtech Electronics Limited	Semtech Electronics Limited
1N4698	Semtech Electronics Limited	Semtech Electronics Limited
1N4699	American Microsemiconductor	American Microsemiconductor
1N4702	Semtech Electronics Limited	Semtech Electronics Limited
1N4705	Semtech Electronics Limited	Semtech Electronics Limited
1N4729	Good-Ark Semiconductor	Good-Ark Electronics
1N4730	Good-Ark Semiconductor	Good-Ark Electronics
1N4736A	Semtech Electronics Limited	Semtech Electronics Limited
1N4740A	Semtech Electronics Limited	Semtech Electronics Limited
1N4741A	Semtech Electronics Limited	Semtech Electronics Limited
1N4743A	Semtech Electronics Limited	Semtech Electronics Limited
1N4744A	Semtech Electronics Limited	Semtech Electronics Limited
1N4747A	Semtech Electronics Limited	Semtech Electronics Limited
1N4748A	Semtech Electronics Limited	Semtech Electronics Limited
1N4751A	American Microsemiconductor	American Microsemiconductor
1N4759	Good-Ark Semiconductor	Good-Ark Electronics
1N4760	Good-Ark Semiconductor	Good-Ark Electronics
1N4761	Good-Ark Semiconductor	Good-Ark Electronics
1N4762	Good-Ark Semiconductor	Good-Ark Electronics
1N4935GPP	Central Semiconductor	Central Semiconductor
1N5227	Good-Ark Semiconductor	Good-Ark Electronics
1N5228	Good-Ark Semiconductor	Good-Ark Electronics
1N5229	Good-Ark Semiconductor	Good-Ark Electronics
1N5229	Semtech Electronics Limited	Semtech Electronics Limited
1N5230	Good-Ark Semiconductor	Good-Ark Electronics
1N5230	Semtech Electronics Limited	Semtech Electronics Limited
1N5231D	Central Semiconductor	Central Semiconductor
1N5235B	American Microsemiconductor	American Microsemiconductor
1N5236B	Central Semiconductor	Central Semiconductor
1N5237	Good-Ark Semiconductor	Good-Ark Electronics
1N5239	Good-Ark Semiconductor	Good-Ark Electronics
1N5239	Semtech Electronics Limited	Semtech Electronics Limited
1N5240	Good-Ark Semiconductor	Good-Ark Electronics
1N5242	Good-Ark Semiconductor	Good-Ark Electronics
1N5242B	Central Semiconductor	Central Semiconductor
1N5243	Good-Ark Semiconductor	Good-Ark Electronics
1N5243	Semtech Electronics Limited	Semtech Electronics Limited
1N5254B	Central Semiconductor	Central Semiconductor
1N5254B	Semtech Electronics Limited	Semtech Electronics Limited
1N5255	Semtech Electronics Limited	Semtech Electronics Limited
1N5273	Good-Ark Semiconductor	Good-Ark Electronics
1N5287	Central Semiconductor	Central Semiconductor
1N5339B	Semtech Electronics Limited	Semtech Electronics Limited
1N5340B	Semtech Electronics Limited	Semtech Electronics Limited
1N5342B	Semtech Electronics Limited	Semtech Electronics Limited
1N5345B	Semtech Electronics Limited	Semtech Electronics Limited
1N5347B	Semtech Electronics Limited	Semtech Electronics Limited
1N5351B	Semtech Electronics Limited	Semtech Electronics Limited
1N5353B	Central Semiconductor	Central Semiconductor
1N5354B	Semtech Electronics Limited	Semtech Electronics Limited
1N5358B	Semtech Electronics Limited	Semtech Electronics Limited
1N5359B	Semtech Electronics Limited	Semtech Electronics Limited
1N5360B	Semtech Electronics Limited	Semtech Electronics Limited
1N5361B	Semtech Electronics Limited	Semtech Electronics Limited
1N5362B	Semtech Electronics Limited	Semtech Electronics Limited
1N5363B	Semtech Electronics Limited	Semtech Electronics Limited
1N5364B	Semtech Electronics Limited	Semtech Electronics Limited
1N5367B	Semtech Electronics Limited	Semtech Electronics Limited
1N5368B	Semtech Electronics Limited	Semtech Electronics Limited
1N5371B	Semtech Electronics Limited	Semtech Electronics Limited
1N5372B	Central Semiconductor	Central Semiconductor
1N5372B	Semtech Electronics Limited	Semtech Electronics Limited
1N5373B	Semtech Electronics Limited	Semtech Electronics Limited
1N5374B	Semtech Electronics Limited	Semtech Electronics Limited
1N5376B	Semtech Electronics Limited	Semtech Electronics Limited
1N5378B	Semtech Electronics Limited	Semtech Electronics Limited
1N5399	Central Semiconductor	Central Semiconductor
1N5403	Central Semiconductor	Central Semiconductor
1N5404-G	Comchip Technology	Comchip Technology
1N5463B	New Jersey Semiconductor	New Jersey Semi-Conductor
1N5465B	New Jersey Semiconductor	New Jersey Semi-Conductor
1N5518C	Central Semiconductor	Central Semiconductor
1N5518D	Central Semiconductor	Central Semiconductor
1N5527B	Central Semiconductor	Central Semiconductor
1N5535B	Central Semiconductor	Central Semiconductor
1N5817	Semtech Electronics Limited	Semtech Electronics Limited
1N5819	Semtech Electronics Limited	Semtech Electronics Limited
1N6660	New Jersey Semiconductor	New Jersey Semi-Conductor
1N749A	American Microsemiconductor	American Microsemiconductor
1N750D	Central Semiconductor	Central Semiconductor
1N751	Semtech Electronics Limited	Semtech Electronics Limited
1N968B	Central Semiconductor	Central Semiconductor
1N974B	Central Semiconductor	Central Semiconductor
1N980B	Central Semiconductor	Central Semiconductor
1PBS-1/0	BURNDY	BURNDY
1PBS2	Hubbell	Hubbell
1PLD6004	Hubbell	Hubbell
1PLD6006	Hubbell	Hubbell
1S1FSS	Schneider Electric	Schneider Electric_LC
1S30	Jinan Jingheng Electronics Co., Ltd.	Jinan Jingheng
1S50	Jinan Jingheng Electronics Co., Ltd.	Jinan Jingheng
1S60	Jinan Jingheng Electronics Co., Ltd.	Jinan Jingheng
1SAM201913R1103	ABB	ABB Semiconductors AG
1SAM350000R1008	ABB	ABB Semiconductors AG
1SBL136061R2110	ABB	ABB Semiconductors AG
1SBL136561R2100	ABB	ABB Semiconductors AG
1SBL143060R5110	ABB	ABB Semiconductors AG
1SBL176001R2310	ABB	ABB Semiconductors AG
1SBL183061R5101	ABB	ABB Semiconductors AG
1SBL183061R5110	ABB	ABB Semiconductors AG
1SBL347201R1100	ABB	ABB Semiconductors AG
1SBN050020R1004	ABB	ABB Semiconductors AG
1SBN060100R1000	ABB	ABB Semiconductors AG
1SBN081311R1000	ABB	ABB Semiconductors AG
1SBN123401R1000	ABB	ABB Semiconductors AG
1SCA022673R1140	ABB	ABB Semiconductors AG
1SCA101661R1001	ABB	ABB Semiconductors AG
1SCA102836R1001	ABB	ABB Semiconductors AG
1SCA104811R1001	ABB	ABB Semiconductors AG
1SCA105033R1001	ABB	ABB Semiconductors AG
1SCA105212R1001	ABB	ABB Semiconductors AG
1SCA105235R1001	ABB	ABB Semiconductors AG
1SCA105236R1001	ABB	ABB Semiconductors AG
1SCA105402R1001	ABB	ABB Semiconductors AG
1SCA105717R1001	ABB	ABB Semiconductors AG
1SCA115227R1001	ABB	ABB Semiconductors AG
1SDA014038R1	ABB	ABB Semiconductors AG
1SDA038286R1	ABB	ABB Semiconductors AG
1SDA038290R1	ABB	ABB Semiconductors AG
1SDA038291R1	ABB	ABB Semiconductors AG
1SDA038292R1	ABB	ABB Semiconductors AG
1SDA038296R1	ABB	ABB Semiconductors AG
1SDA038300R1	ABB	ABB Semiconductors AG
1SDA038301R1	ABB	ABB Semiconductors AG
1SDA038302R1	ABB	ABB Semiconductors AG
1SDA038306R1	ABB	ABB Semiconductors AG
1SDA038310R1	ABB	ABB Semiconductors AG
1SDA038312R1	ABB	ABB Semiconductors AG
1SDA038314R1	ABB	ABB Semiconductors AG
1SDA038315R1	ABB	ABB Semiconductors AG
1SDA038323R1	ABB	ABB Semiconductors AG
1SDA038324R1	ABB	ABB Semiconductors AG
1SDA038325R1	ABB	ABB Semiconductors AG
1SDA038326R1	ABB	ABB Semiconductors AG
1SDA038327R1	ABB	ABB Semiconductors AG
1SDA038329R1	ABB	ABB Semiconductors AG
1SDA038330R1	ABB	ABB Semiconductors AG
1SDA038331R1	ABB	ABB Semiconductors AG
1SDA038340R1	ABB	ABB Semiconductors AG
1SDA038343R1	ABB	ABB Semiconductors AG
1SDA038344R1	ABB	ABB Semiconductors AG
1SDA038351R1	ABB	ABB Semiconductors AG
1SDA038357R1	ABB	ABB Semiconductors AG
1SDA038360R1	ABB	ABB Semiconductors AG
1SDA038361R1	ABB	ABB Semiconductors AG
1SDA038363R1	ABB	ABB Semiconductors AG
1SDA038364R1	ABB	ABB Semiconductors AG
1SDA038365R1	ABB	ABB Semiconductors AG
1SDA038366R1	ABB	ABB Semiconductors AG
1SDA038368R1	ABB	ABB Semiconductors AG
1SDA038369R1	ABB	ABB Semiconductors AG
1SDA043466R1	ABB	ABB Semiconductors AG
1SDA043467R1	ABB	ABB Semiconductors AG
1SDA043468R1	ABB	ABB Semiconductors AG
1SDA043469R1	ABB	ABB Semiconductors AG
1SDA043470R1	ABB	ABB Semiconductors AG
1SDA045039R1	ABB	ABB Semiconductors AG
1SDA046523R1	ABB	ABB Semiconductors AG
1SDA048827R1	ABB	ABB Semiconductors AG
1SDA050157R1	ABB	ABB Semiconductors AG
1SDA050163R1	ABB	ABB Semiconductors AG
1SDA050696R1	ABB	ABB Semiconductors AG
1SDA051370R1	ABB	ABB Semiconductors AG
1SDA051383R1	ABB	ABB Semiconductors AG
1SDA051384R1	ABB	ABB Semiconductors AG
1SDA055714R1	ABB	ABB Semiconductors AG
1SDA055872R1	ABB	ABB Semiconductors AG
1SDA055873R1	ABB	ABB Semiconductors AG
1SDA055874R1	ABB	ABB Semiconductors AG
1SDA055879R1	ABB	ABB Semiconductors AG
1SDA055904R1	ABB	ABB Semiconductors AG
1SDA055905R1	ABB	ABB Semiconductors AG
1SDA055906R1	ABB	ABB Semiconductors AG
1SDA055911R1	ABB	ABB Semiconductors AG
1SDA056137R1	ABB	ABB Semiconductors AG
1SDA056138R1	ABB	ABB Semiconductors AG
1SDA056162R1	ABB	ABB Semiconductors AG
1SDA056256R1	ABB	ABB Semiconductors AG
1SDA056257R1	ABB	ABB Semiconductors AG
1SDA056258R1	ABB	ABB Semiconductors AG
1SDA056264R1	ABB	ABB Semiconductors AG
1SDA056265R1	ABB	ABB Semiconductors AG
1SDA056266R1	ABB	ABB Semiconductors AG
1SDA056288R1	ABB	ABB Semiconductors AG
1SDA056289R1	ABB	ABB Semiconductors AG
1SDA056290R1	ABB	ABB Semiconductors AG
1SDA056297R1	ABB	ABB Semiconductors AG
1SDA056298R1	ABB	ABB Semiconductors AG
1SDA056354R1	ABB	ABB Semiconductors AG
1SDA056452R1	ABB	ABB Semiconductors AG
1SDA056453R1	ABB	ABB Semiconductors AG
1SDA056621R1	ABB	ABB Semiconductors AG
1SDA056834R1	ABB	ABB Semiconductors AG
1SDA056836R1	ABB	ABB Semiconductors AG
1SDA056839R1	ABB	ABB Semiconductors AG
1SDA056842R1	ABB	ABB Semiconductors AG
1SDA056864R1	ABB	ABB Semiconductors AG
1SDA058191R1	ABB	ABB Semiconductors AG
1SDA074661R1	ABB	ABB Semiconductors AG
1SFA611513R1101	ABB	ABB Semiconductors AG
1SFA611621R1012	ABB	ABB Semiconductors AG
1SFA616915R1005	ABB	ABB Semiconductors AG
1SFA619100R1012	ABB	ABB Semiconductors AG
1SFA619920R8053	ABB	ABB Semiconductors AG
1SFA619930R1024	ABB	ABB Semiconductors AG
1SFL577001R6911	ABB	ABB Semiconductors AG
1SFL577001R7011	ABB	ABB Semiconductors AG
1SFL597001R7122	ABB	ABB Semiconductors AG
1SL0816A00	ABB	ABB Semiconductors AG
1SL0824A00	ABB	ABB Semiconductors AG
1SL0826A00	ABB	ABB Semiconductors AG
1SL0828A00	ABB	ABB Semiconductors AG
1SL0832A00	ABB	ABB Semiconductors AG
1SL0856A00	ABB	ABB Semiconductors AG
1SL9019A00	ABB	ABB Semiconductors AG
1SL9033A00	ABB	ABB Semiconductors AG
1SL9043A00	ABB	ABB Semiconductors AG
1SL9045A00	ABB	ABB Semiconductors AG
1SL9047A00	ABB	ABB Semiconductors AG
1SL9049A00	ABB	ABB Semiconductors AG
1SL9051A00	ABB	ABB Semiconductors AG
1SL9085A00	ABB	ABB Semiconductors AG
1SL9087A00	ABB	ABB Semiconductors AG
1SLM006500A1214	ABB	ABB Semiconductors AG
1SLM006500A1931	ABB	ABB Semiconductors AG
1SLM006500A1935	ABB	ABB Semiconductors AG
1SLM006500A1937	ABB	ABB Semiconductors AG
1SLM006500A1938	ABB	ABB Semiconductors AG
1SMB130A	Central Semiconductor	Central Semiconductor
1SMB14A	Central Semiconductor	Central Semiconductor
1SMB17A	Central Semiconductor	Central Semiconductor
1SMB22A	Central Semiconductor	Central Semiconductor
1SMB36A	Central Semiconductor	Central Semiconductor
1SMB40A	Central Semiconductor	Central Semiconductor
1SMB90CA	Central Semiconductor	Central Semiconductor
1SMC20A	Central Semiconductor	Central Semiconductor
1SMC64A	Central Semiconductor	Central Semiconductor
1SMC8.0A	Central Semiconductor	Central Semiconductor
1SNA645005R0700	ABB	ABB Semiconductors AG
1SPE007715F0752	ABB	ABB Semiconductors AG
1SPE007715F0753	ABB	ABB Semiconductors AG
1SS277WT	Semtech Electronics Limited	Semtech Electronics Limited
1SS321	Semtech Electronics Limited	Semtech Electronics Limited
1SVR405613R1000	ABB	ABB Semiconductors AG
1SVR405613R7100	ABB	ABB Semiconductors AG
1SVR405651R0000	ABB	ABB Semiconductors AG
1SVR405652R4000	ABB	ABB Semiconductors AG
1SVR500020R0000	ABB	ABB Semiconductors AG
1SVR500020R1100	ABB	ABB Semiconductors AG
1SVR730824R9300	ABB	ABB Semiconductors AG
1SVR730885R3300	ABB	ABB Semiconductors AG
1TGMPCLIENT.10-01	B&R Industrial Automation Corp	B_R Industrial Automation Corp
1TGMPDATA.02	B&R Industrial Automation Corp	B_R Industrial Automation Corp
1TY37	W.W. Grainger, Inc	W.W. Grainger
1UCROSSBAR-119-V	RackSolutions, Inc	RackSolutions, Inc
1ZBT5	W.W. Grainger, Inc	W.W. Grainger
2 810 02	Legrand	Legrand
2 810 53	Legrand	Legrand
2 819 72	Legrand	Legrand
2-10	Spectrum Control Inc	Spectrum Control Inc
2-141	Cinch Connectivity Solutions	Cinch Connectors_LC
2-141	Cinch Connectivity Solutions	Cinch Connectivity Solutions_Inventory
2-C3.5A	J.S.T.MFG.CO.,LTD	JST Manufacturing_LC
2-C3.5A	J.S.T.MFG.CO.,LTD	JST Manufacturing_RoHS
20 10 001 3222	HARTING Technology Group	Harting Technology Group_Rohs
20 80 000 1081	HARTING Technology Group	Harting Technology Group_Rohs
20 82 000 0005	HARTING Technology Group	Harting Technology Group_Rohs
20 82 000 9901	HARTING Technology Group	Harting Technology Group_Rohs
20 82 000 9915	HARTING Technology Group	Harting Technology Group_Rohs
20 82 005 2001	HARTING Technology Group	Harting Technology Group_Rohs
20 82 006 2001	HARTING Technology Group	Harting Technology Group_Rohs
20 82 008 0002	HARTING Technology Group	Harting Technology Group_Rohs
20 82 101 0021	HARTING Technology Group	Harting Technology Group_Rohs
20 82 101 0022	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2002	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2004	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2006	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2008	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2010	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2020	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2030	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2040	HARTING Technology Group	Harting Technology Group_Rohs
20 82 630 2050	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1006	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1008	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1010	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1020	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1030	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1040	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1050	HARTING Technology Group	Harting Technology Group_Rohs
20 82 631 1100	HARTING Technology Group	Harting Technology Group_Rohs
20 88 641 1015	HARTING Technology Group	Harting Technology Group_Rohs
20 88 641 1030	HARTING Technology Group	Harting Technology Group_Rohs
20 88 641 1050	HARTING Technology Group	Harting Technology Group_Rohs
20 88 641 1100	HARTING Technology Group	Harting Technology Group_Rohs
20 88 641 1150	HARTING Technology Group	Harting Technology Group_Rohs
20 88 641 1300	HARTING Technology Group	Harting Technology Group_Rohs
20 88 821 0015	HARTING Technology Group	Harting Technology Group_Rohs
20 88 821 0030	HARTING Technology Group	Harting Technology Group_Rohs
20 88 821 0050	HARTING Technology Group	Harting Technology Group_Rohs
20 88 821 0100	HARTING Technology Group	Harting Technology Group_Rohs
20 88 821 0150	HARTING Technology Group	Harting Technology Group_Rohs
20 88 821 0300	HARTING Technology Group	Harting Technology Group_Rohs
20 88 841 0015	HARTING Technology Group	Harting Technology Group_Rohs
20 88 841 0030	HARTING Technology Group	Harting Technology Group_Rohs
20 88 841 0050	HARTING Technology Group	Harting Technology Group_Rohs
20 88 841 0150	HARTING Technology Group	Harting Technology Group_Rohs
20 88 841 0300	HARTING Technology Group	Harting Technology Group_Rohs
20 EBW-54	ABB	ABB Semiconductors AG
20 EUC-14-212	ABB	ABB Semiconductors AG
20 EUC-14-212-102	ABB	ABB Semiconductors AG
20 EUC-20	ABB	ABB Semiconductors AG
20 EUC-24	ABB	ABB Semiconductors AG
20 EUC-24G	ABB	ABB Semiconductors AG
20 EUC-260	ABB	ABB Semiconductors AG
20 EUC-72	ABB	ABB Semiconductors AG
20 EUC-777	ABB	ABB Semiconductors AG
20 EUC-783	ABB	ABB Semiconductors AG
20 EUCBL-13-914	ABB	ABB Semiconductors AG
20 EUCBL-14-212	ABB	ABB Semiconductors AG
20 EUCBLI-885	ABB	ABB Semiconductors AG
20 EUCBUSB-24	ABB	ABB Semiconductors AG
20 EUCBUSB-24G	ABB	ABB Semiconductors AG
20 EUCBUSB-260	ABB	ABB Semiconductors AG
20 EUCBUSB-266	ABB	ABB Semiconductors AG
20 EUCKS-20	ABB	ABB Semiconductors AG
20 EUCKS-212	ABB	ABB Semiconductors AG
20 EUCKS-266	ABB	ABB Semiconductors AG
20 EUCKS-774	ABB	ABB Semiconductors AG
20 EUCKS-79	ABB	ABB Semiconductors AG
20 EUCKS-81	ABB	ABB Semiconductors AG
20 EUCKS/DV-84	ABB	ABB Semiconductors AG
20 EUCR-914	ABB	ABB Semiconductors AG
20 EUGK-33-101	ABB	ABB Semiconductors AG
20 EUGK-35-101	ABB	ABB Semiconductors AG
20 EUGKB-34-101	ABB	ABB Semiconductors AG
20 EUGKBN-32-101	ABB	ABB Semiconductors AG
20 EUJKS-212	ABB	ABB Semiconductors AG
20 EUJSR-214	ABB	ABB Semiconductors AG
20 EUK-24	ABB	ABB Semiconductors AG
20 EUK-803	ABB	ABB Semiconductors AG
20 EUKB-13-914	ABB	ABB Semiconductors AG
20 EUKB-14-212	ABB	ABB Semiconductors AG
20 EUKB-212	ABB	ABB Semiconductors AG
20 EUKN-212	ABB	ABB Semiconductors AG
20 EUKR-914	ABB	ABB Semiconductors AG
20 EUKSL-214-101	ABB	ABB Semiconductors AG
20 EUN-884	ABB	ABB Semiconductors AG
20 EWN-13-53	ABB	ABB Semiconductors AG
20 EWN-53	ABB	ABB Semiconductors AG
20 EWN-54	ABB	ABB Semiconductors AG
20 EWSL-101-53	ABB	ABB Semiconductors AG
20-872-0508	Eurostat Group	Eurostat Group
20/2 EBW-54	ABB	ABB Semiconductors AG
200-9375.00-00000	DIRAK, INC	DIRAK
2000-16	Terra Universal	Terra Universal
2000-17	Terra Universal	Terra Universal
2000-68400-4410000	Murrelektronik GmbH	Murrelektronik GmbH
2000/2 US	ABB	ABB Semiconductors AG
2000/2 US-101	ABB	ABB Semiconductors AG
2000/6/2 US	ABB	ABB Semiconductors AG
2000036233	Basler AG	Basler AG
2001-1303	WAGO GmbH & Co. KG	WAGO Kontakttechnik GmbH
2001-1303	WAGO GmbH & Co. KG	WAGO Kontakttechnik GmbH_RoHS
2001-560	WAGO GmbH & Co. KG	WAGO Kontakttechnik GmbH
2001-65	Terra Universal	Terra Universal
2001-66	Terra Universal	Terra Universal
2001-67	Terra Universal	Terra Universal
2001/5 U	ABB	ABB Semiconductors AG
2001/6 U	ABB	ABB Semiconductors AG
2001/6/6 U	ABB	ABB Semiconductors AG
2002-24	Terra Universal	Terra Universal
2002/5 UJ-64	ABB	ABB Semiconductors AG
2002/6 UJ-64	ABB	ABB Semiconductors AG
2005-55	Terra Universal	Terra Universal
2005-84	Terra Universal	Terra Universal
2005806	SICK AG	SICK AG
2006-0001	Thermo Fisher Scientific Inc	Thermo Fisher Scientific
200717	Festo SE & Co. KG	Festo AG & Co. KG_LC
