,Man,Modules,Running Status,Module Comment,old
391,"Applied Avionics, Inc","Applied Avionics, Inc",Regular Running,------,
392,Applied Motion Products,Applied Motion Products,Regular Running,,
393,Arlington Industries,Arlington Industries,Regular Running,Proxy issue,
394,Artisan Controls,Artisan Controls,Regular Running,------,
395,Asahi Kasei Microdevices Corporation,Asahi Kasei Microdevices Corporation,Regular Running,------,
396,ASJ Pte Ltd,ASJ Pte Ltd,Regular Running,DA-535,
397,ASS.EL. S.R.L.,ASS.EL. S.R.L.,Regular Running,,
398,ASSMANN Electronic,ASSMANN Electronic_LC,Regular Running,------,
399,"Assmann WSW components, Inc","Assmann WSW components, Inc",Regular Running,------,
400,Associated Bag,Associated Bag,Regular Running,Proxy issue,
401,Associated Components Technology,Associated Components Technology,Regular Running,DA-535,
402,Astrodyne TDI,Astrodyne TDI Corporation,Regular Running,Proxy Issue,
403,"Aten International Co., Ltd",ATEN International,Regular Running,------,
404,Atlas Casters LLC,Atlas Casters LLC,Regular Running,------,
405,Aurora Bearing,Aurora Bearing,Regular Running,-----,
406,Automationdirect,Automationdirect,Regular Running,------,
407,Aven Tools,Aven Tools,Regular Running,,
408,"Axiomtek Co., Ltd",AXIOMTEK,Regular Running,,
409,AXXATRONIC GmbH,AXXATRONIC GmbH,Regular Running,------,
410,"AZ Displays, Inc",AZ Displays,Regular Running,------,
411,B&B MANUFACTURING,B&B Manufacturing Corporation,Regular Running,------,
412,B&R Industrial Automation Corp,B_R Industrial Automation Corp,Regular Running,------,
413,Balluff,Balluff,Regular Running,------,
414,Bals Elektrotechnik GmbH & Co. KG,Bals Elektrotechnik GmbH & Co. KG,Regular Running,------,
415,BAL-TEC AG,BAL-TEC AG,Regular Running,------,
416,Banner Engineering,Banner Engineering,Regular Running,------,
417,Barco Incorporated,Barco Incorporated,Regular Running,Most of parts are not found,Regular Running
418,Beckhoff Automation,Beckhoff Automation,Regular Running,------,
419,Bel Fuse Inc,BEL Group,Regular Running,------,
420,Bel Power Solutions,Bel Power Solutions,Regular Running,------,
421,Belden,Belden,Regular Running,Proxy Issue,
422,BH Electronics,BH Electronics,Regular Running,------,
423,Franz Binder GmbH & Co. Elektrische Bauelemente KG,Binder,Regular Running,------,
424,Bird Technologies,Bird Technologies Group,Regular Running,------,
425,Bivar,Bivar,Regular Running,Waiting Time,
426,Black Box,Black Box,Regular Running,------,
427,Black Box,Black Box_Rohs,Regular Running,------,
428,Blickle Raeder+Rollen GmbH u. Co. KG,Blickle Rader+Rollen GmbH u. Co. KG,Regular Running,------,
429,Bodine Electric Company,Bodine Electric Company,Regular Running,------,
430,"Bolt Depot, Inc","Bolt Depot, Inc",Regular Running,------,
431,Bondhus,Bondhus,Regular Running,------,
432,Bosch,Bosch,Regular Running,shadow root,
433,Bossard Group,Bossard Group,Regular Running,------,
434,Brady Corporation,Brady Corporation,Regular Running,------,
435,Brainboxes,Brainboxes,Regular Running,------,
436,Bridgeport Fittings,Bridgeport Fittings,Regular Running,,
437,Brightking,Brightking,Regular Running,,
438,BriskHeat Corporation,BriskHeat Corporation,Regular Running,------,
439,Bud Industries,Bud Industries,Regular Running,------,
440,Buerklin GmbH & Co. KG,Buerklin GmbH & Co. KG,Regular Running,,
441,Bulgin Limited,Bulgin Components PLC,Regular Running,------,
442,"Bytesonic Electronics Co., Ltd",Bytesonic,Regular Running,------,
443,C&K,C&K Components,Regular Running,------,
444,C.I.F,C.I.F,Regular Running,,
445,CableOrganizer,Cable_organizer,Regular Running,------,
446,Cablecraft Ltd,Cablecraft Ltd,Regular Running,------,
447,Cablek Industries,Cablek Industries,Regular Running,,
448,CableWholesale,CableWholesale_com,Regular Running,------,
449,Cactus Technologies,Cactus Technologies,Regular Running,------,
450,CAIG Laboratories,CAIG Laboratories_data,Regular Running,------,
451,California Caster and Hand Truck Company,California Caster,Regular Running,,
452,Calrad Electronics,Calrad Electronics,Regular Running,------,
453,CamdenBoss Ltd,CamdenBoss Ltd,Regular Running,------,
454,Caplugs,Caplugs,Regular Running,Waiting,
455,Carclo Optics,Carclo Technical Plastics,Regular Running,------,
456,Carling Technologies,Carling Technologies,Regular Running,Proxy Issue,
457,Carlo Gavazzi Group,Carlo Gavazzi Group,Regular Running,------,
458,Carroll & Meynell,Carroll & Meynell,Regular Running,------,
459,Carter Manufacturing Company Inc,Carter Manufacturing Co. Inc,Regular Running,------,
460,CarTFT.com e.K,CarTFT.com e.K,Regular Running,------,
461,Celduc Relais,Celduc Relais,Regular Running,------,
462,Central Semiconductor,Central Semiconductor,Regular Running,------,
463,Central Technologies,Central Technologies,Regular Running,Bad Response,
464,Centric RF,Centric RF,Regular Running,------,
465,CHANGZHOU FULLING MOTOR CO. LTD,CHANGZHOU FULLING MOTOR CO. LTD,Regular Running,,
466,"Changzhou Galaxy Century Microelectronics Co.,Ltd",Changzhou Galaxy Century Microelectronics Co_Ltd,Regular Running,------,
467,Chemtronics,Chemtronics,Regular Running,------,
468,Chenmko Enterprise,Chenmko Enterprise,Regular Running,,
469,ChromeLED Corporation,ChromeLED Corporation,Regular Running,------,
470,Cinch Connectivity Solutions,Cinch Connectivity Solutions_Inventory,Regular Running,,
471,Circuit Assembly Corp,CIRCUIT ASSEMBLY,Regular Running,------,
472,CLIFF Electronic Components Ltd,CLIFF Electronic Components Ltd,Regular Running,------,
473,CML Innovative Technologies,CML Innovative Technologies_LC,Regular Running,------,
474,"CnC Tech, LLC","CnC Tech, LLC",Regular Running,------,
475,Coaxial Components Corp,Coaxial Components,Regular Running,------,
476,Coda Systems Limited,Coda Systems Limited,Regular Running,------,
477,Code Mercenaries,Code Mercenaries,Regular Running,------,
478,"Coil Winding Specialist, Inc",Coil Winding Specialist,Regular Running,------,
479,Coilcraft,Coilcraft,Regular Running,------,
480,Coilhose Pneumatics,Coilhose Pneumatics,Regular Running,,
481,"Cole-Parmer Instrument Company, LLC",Cole-Parmer,Regular Running,------,
482,Comchip Technology,Comchip Technology,Regular Running,------,
483,CommScope,CommScope,Regular Running,,Regular Running
484,Compona AG,Compona AG,Regular Running,------,
485,Components Express,Components Express,Regular Running,------,
486,Comtop Connectivity Solutions Inc,Comtop Enterprises,Regular Running,------,
487,Comus International,Comus International Group,Regular Running,------,
488,CONEC Elektronische Bauelemente GmbH,CONEC,Pending Data Team,Site Updates need new simulation,Regular Running
489,Connect Tech Inc,Connect Tech Inc,Regular Running,------,
490,Continental Device India Limited,Continental Device India Limited,Regular Running,------,
491,Contrinex AG,Contrinex AG,Regular Running,,
492,Corsair Components Inc,Corsair Components Inc,Regular Running,,
493,COSEL,COSEL,Regular Running,------,
494,CRC Industries,CRC Industries,Regular Running,,
495,"Crystalfontz America, Inc",Crystalfontz,Regular Running,------,
496,Crystek Corporation,Crystek Corporation,Regular Running,------,
497,CTC Company,CTC Company,Regular Running,Proxy Issue,
498,CW Industries,CW Industries,Regular Running,------,
499,Cynergy3 Components,Cynergy3 Components,Regular Running,------,
500,Daburn Electronics & Cable,Daburn Electronics & Cable,Regular Running,------,
501,I-PEX Inc,DAI-ICHI SEIKO CO_LTD,Regular Running,------,
502,Daito Communication Apparatus,Daito Communication Apparatus,Regular Running,------,
503,Daniels Manufacturing,Daniels Manufacturing,Regular Running,,
504,Data Device Corporation,Data Device Corporation,Regular Running,Proxy issue,
505,Dataforth Corporation,Dataforth Corporation,Regular Running,-----,
506,DATAQ Instruments,DATAQ Instruments,Regular Running,,
507,DB Unlimited,DB Unlimited,Regular Running,------,
508,"DC Components Co., Ltd",DC Components Co_Ltd,Regular Running,------,
509,Dean Technology Inc,Dean Technology Inc,Regular Running,,Regular Running
510,DeLOCK,DeLOCK,Regular Running,------,
511,Aptiv,Delphi,Regular Running,Waiting Time,
512,Delta Electronics,Delta Electronics,Regular Running,Proxy Issue,
513,Delta Electronics Mfg. Corp,Delta Electronics Mfg. Corp_2,Regular Running,------,
514,Deltron AG,Deltron AG,Regular Running,------,
515,Desco Industries,Desco Industries,Regular Running,,
516,Device Engineering,Device Engineering,Regular Running,------,
517,Dexerials Corporation,Dexerials Corporation,Regular Running,------,
518,DFI Inc,DFI Incorporated,Regular Running,------,
519,Dialight,Dialight_2,Regular Running,------,
520,Digi International,Digi International,Regular Running,------,
521,Digi International,Digi International_ECCN,Regular Running,------,
522,Digi International,Digi International_LC,Regular Running,------,
523,Digilent,Digilent,Regular Running,,
524,DIGITUS,DIGITUS,Regular Running,------,
525,Diodes Incorporated,Diodes Inc,Regular Running,------,
526,Diotec Semiconductor AG,Diotec Semiconductor AG,Regular Running,------,
527,di-soric GmbH & Co. KG,di-soric GmbH & Co. KG,Regular Running,------,
528,DK-LOK,DK-LOK,Regular Running,------,
529,D-Link Corporation,D-Link,Regular Running,------,
530,DPV Elektronik-Service GmbH,DPV Elektronik-Service GmbH,Regular Running,------,
531,DWK Life Sciences GmbH,DWK Life Sciences Ltd,Regular Running,,
532,Dwyer Instruments,Dwyer Instruments,Regular Running,Site Unstable,
533,Dynatron Corporation,Dynatron Corporation,Regular Running,Proxy Issue,
534,EA Elektro-Automatik GmbH & Co.KG,EA Elektro-Automatik GmbH & Co.KG,Regular Running,------,
535,East Electronics Corp,East Electronics Corp,Regular Running,------,
536,ebm-papst,ebm-papst,Regular Running,------,
537,ECHO Microwave Inc,ECHO Microwave Inc,Regular Running,,
538,Eclipse Tools,Eclipse Enterprises,Regular Running,------,
539,Econ Connect,Econ Connect,Regular Running,------,
540,EDAC,EDAC,Regular Running,------,
541,Edmund Optics Inc,Edmund Optics,Regular Running,,
542,EFB ELEKTRONIK,EFB ELEKTRONIK,Regular Running,,
543,Efficient Power Conversion Corporation,Efficient Power Conversion Corporation,Regular Running,------,
544,EIC Semiconductor,EIC Semiconductor,Regular Running,------,
545,Eldon James,Eldon James,Regular Running,,
546,Electrolube,Electrolube,Regular Running,------,
547,DISPLAY VISIONS GmbH,ELECTRONIC ASSEMBLY GmbH,Regular Running,------,
548,Elesa+Ganter,Elesa+Ganter,Regular Running,------,
549,Elkay Plastics,Elkay Plastics,Regular Running,------,
550,ELMOS Semiconductor AG,ELMOS Semiconductor AG,Regular Running,------,
551,"Elo Touch Solutions, Inc","Elo Touch Solutions, Inc",Regular Running,------,
552,"Elo Touch Solutions, Inc","Elo Touch Solutions, Inc_LC",Regular Running,------,
553,Elpress AB,Elpress AB,Regular Running,,
554,Eltek,Eltek,Regular Running,------,
555,Embrionix,Embrionix,Regular Running,------,
556,Encitech Connectors AB,Encitech Connectors AB,Regular Running,------,
557,END-Armaturen GmbH & Co. KG,END-Armaturen GmbH & Co. KG,Regular Running,------,
558,Endress+Hauser,Endress_Hauser,Regular Running,------,
559,Entegris,Entegris,Regular Running,------,
560,EOZ S.A.S,EOZ S.A.S,Regular Running,,
561,Epoxy Technology,Epoxy Technology,Regular Running,,
562,ept GmbH,ept GmbH,Regular Running,,
563,Ergotron,Ergotron,Regular Running,------,
564,ERP Power LLC,ERP Power LLC,Regular Running,------,
565,ES&S Solutions GmbH,ES&S Solutions GmbH,Regular Running,------,
566,Essentra Components,ESSENTRA COMPONENTS AMERICAS,Regular Running,------,
567,E-Switch,E-Switch,Regular Running,,
568,ETN Elastomer-Technik Nuernberg GmbH,ETN Elastomer-Technik Nuernberg GmbH,Regular Running,Most of parts not found,Regular Running
569,ETTINGER GmbH,ETTINGER,Regular Running,------,
570,Euchner-USA,Euchner-USA,Regular Running,------,
571,Eurostat Group,Eurostat Group,Regular Running,Proxy Issue,Regular Running
572,Everett Charles Technologies,Everett Charles Technologies,Regular Running,,
573,"EVERLIGHT Electronics Co., Ltd",Everlight Electronics_3,Regular Running,------,
574,EverSpin Technologies,EverSpin Technologies,Regular Running,Proxy Issue,
575,EVG Elektro-Vertriebs-Gesellschaft Martens GmbH & Co. KG,EVG Elektro-Vertriebs-Gesellschaft Martens GmbH,Regular Running,,
576,EXAIR Corporation,EXAIR Corporation,Regular Running,------,
577,Excelta,Excelta,Regular Running,------,
578,Extech Instruments,Extech Instruments,Regular Running,,
579,FABORY,FABORY Group,Regular Running,------,
580,Fairview Fittings & Manufacturing Limited,Fairview Fittings & Manufacturing Limited,Regular Running,------,
581,Fairview Microwave,Fairview Microwave,Regular Running,,
582,Fastenal Company,Fastenal Company,Regular Running,------,
583,Fastener Industries,Fastener Industries,Regular Running,------,
584,Fastener SuperStore,Fastener SuperStore,Regular Running,------,
585,Federal Custom Cable,Federal Custom Cable,Regular Running,,Regular Running
586,Federntechnik Knoerzer GmbH,Federntechnik Knoerzer GmbH,Regular Running,------,
587,Ferroxcube,Ferroxcube International Holding B.V.,Regular Running,Proxy issue,
588,Ferrules Direct,Ferrules Direct,Regular Running,------,
589,Festo AG & Co. KG,Festo AG & Co. KG_LC,Regular Running,------,
590,Fibox,Fibox,Regular Running,------,
591,Filtronetics,Filtronetics,Regular Running,------,
592,Firecomms,Firecomms,Regular Running,,
593,"First Resistor & Condenser Co., Ltd","First Resistor & Condenser Co., Ltd",Regular Running,------,
594,Fischer Elektronik GmbH & Co. KG,Fischer Elektronik_Accessories,Regular Running,------,
595,Teledyne FLIR LLC,"FLIR Systems, Inc",Regular Running,------,
596,Floyd Bell,Floyd Bell,Regular Running,------,
597,Fluke Corporation,Fluke Corporation,Regular Running,------,
598,"Focus Display Solutions, Inc","Focus Display Solutions, Inc",Regular Running,,
599,Formerica Optoelectronics,Formerica Optoelectronics,Regular Running,------,
600,Freelin-Wade Co,Freelin-Wade,Regular Running,------,
601,Friedrich Lutze GmbH,Friedrich Lutze GmbH,Regular Running,------,
602,FRIWO,FRIWO,Regular Running,------,
603,FSP Group,FSP Group,Regular Running,------,
604,FTZ Industries,FTZ Industries,Regular Running,------,
605,Fuji Electric,Fuji Electric_LC,Regular Running,,
606,Fujikin,Fujikin,Regular Running,------,
607,Fuzetec Technology,Fuzetec Technology,Regular Running,------,
608,G. Lufft Mess- und Regeltechnik GmbH,G. Lufft Mess- und Regeltechnik GmbH,Regular Running,,Regular Running
609,G.L. Huyett,G.L. Huyett,Regular Running,------,
610,GaN Systems,GaN Systems,Stopped,Fully acquired,Regular Running
611,Otto Ganter GmbH & Co. KG,ganter griff,Regular Running,------,
612,Gardner Bender,Gardner Bender,Regular Running,------,
613,GardTec,GardTec,Regular Running,------,
614,Garmin Ltd,Garmin,Regular Running,,
615,Gates Corporation,Gates Corporation,Regular Running,------,
616,GC Valves,GC Valves,Regular Running,------,
617,GEDORE Werkzeugfabrik GmbH & Co. KG,Gedore Tools SA (Pty) Ltd,Regular Running,Waiting Time,
618,Gefen,Gefen Inc,Regular Running,------,
619,Gems Sensors & Controls,Gems Sensors & Controls,Regular Running,------,
620,General Devices,General Devices,Regular Running,------,
621,Georg Fischer AG,Georg Fischer AG,Regular Running,------,
622,GIGA-BYTE TECHNOLOGY,GIGA-BYTE TECHNOLOGY,Regular Running,,
623,GIMOTA AG,GIMOTA AG,Regular Running,------,
624,"GLF Integrated Power, Inc",GLF Integrated Power_Inc,Regular Running,------,
625,GNS Electronics GmbH,GNS Electronics GmbH,Regular Running,,
626,Golledge Electronics,Golledge Electronics,Regular Running,------,
627,Goodwork Semiconductor,Goodwork Semiconductor,Regular Running,Waiting Time,
628,GradConn,GradConn,Stopped,Fully acquired,Regular Running
629,Greenlee,Greenlee Textron,Regular Running,------,
630,GSI Technology,GSI Technology,Regular Running,,
631,Guerrilla RF,Guerrilla RF,Regular Running,------,
632,Gustav Klauke GmbH,Gustav Klauke GmbH,Regular Running,------,
633,Gutekunst + Co.KG,Gutekunst,Regular Running,DA-535,
634,Haberkorn s.r.o.,Haberkorn Ulmer,Regular Running,------,
635,Hach Company,Hach Company,Regular Running,------,
636,Hafele GmbH & Co KG,Hafele GmbH & Co KG,Regular Running,------,
637,HAKKO Corporation,HAKKO Corporation_RoHS,Regular Running,Proxy issue,
638,Hamamatsu Photonics K.K.,Hamamatsu Photonics K.K._RoHS,Regular Running,------,
639,Hamilton Company,Hamilton Company,Regular Running,------,
640,Hammond Manufacturing,Hammond Manufacturing_LC,Regular Running,------,
641,Hanson Rivet & Supply,Hanson Rivet & Supply,Regular Running,------,
642,Hardware.aero LLC,Hardware.aero LLC,Regular Running,------,
643,Harrison Silverdale Ltd,Harrison Silverdale Ltd,Regular Running,------,
644,HARTING Technology Group,Harting Technology Group_Rohs,SW Issue,Issue SW as browers not support,Regular Running
645,Hayward Flow Control Systems,Hayward Flow Control Systems,Regular Running,------,
646,HellermannTyton,HellermannTyton,Regular Running,------,
647,HellermannTyton,HellermannTyton_Rohs,Regular Running,------,
648,Hengstler,Hengstler,Regular Running,------,
649,Hewlett Packard Enterprise,Hewlett Packard Enterprise,Regular Running,------,
650,Heyco Products,Heyco Products,Regular Running,Proxy issue,
651,High Energy Corp,High Energy Corp,Regular Running,DA-535,
652,Hilscher Gesellschaft fuer Systemautomation mbH,Hilscher,Regular Running,,
653,Hirose Electric,Hirose Electric_LC,Regular Running,DA-535,
654,Hoffmann GmbH,Hoffmann GmbH_Main,Regular Running,------,
655,Hollingsworth,Hollingsworth,Regular Running,------,
656,Holtek Semiconductor Inc,Holtek Semiconductor,Regular Running,,
657,Holy Stone Enterprise,Holy Stone Enterprise,Regular Running,------,
658,"Honda Tsushin Kogyo Co., Ltd",Honda Connectors_RoHS,Regular Running,,
659,Hubbell,Hubbell,Regular Running,,
660,Hugo Brennenstuhl GmbH & Co,Hugo Brennenstuhl GmbH & Co,Regular Running,------,
661,HUMMEL AG,HUMMEL AG,Regular Running,------,
662,HY Electronic (CAYMAN) Limited,HY Electronic (CAYMAN) Limited,Regular Running,------,
663,Hydrasearch,Hydrasearch,Regular Running,,
664,Hylec-APL Ltd,HYLEC Components,Regular Running,------,
665,I.L.M.E. S.p.A.,I.L.M.E. S.p.A.,Regular Running,------,
666,Ichor Systems,Ichor Systems,Regular Running,------,
667,IDEC,IDEC_LC,Regular Running,------,
668,IDEX Corporation,IDEX Corporation,Regular Running,------,
669,IDS Imaging Development Systems GmbH,IDS Imaging Development Systems GmbH,Regular Running,,
670,ifm electronic gmbh,ifm efector,Regular Running,------,
671,igus,igus,Regular Running,Waiting Time,
672,Illinois Tool Works,Illinois Tool Works,Regular Running,------,
673,ILSCO,ILSCO,Regular Running,Proxy Issue,
674,IMO Precision Controls,IMO Precision Controls,Regular Running,------,
675,"Imprex International, Inc",Imprex International_Inc,Regular Running,------,
676,IMS Connector Systems,IMS Connector Systems,Regular Running,------,
677,Inarca spa,Inarca spa,Regular Running,,
678,Inchange Semiconductor Company Limited,Inchange Semiconductor Company Limited,Regular Running,,
679,"IVF, Inc",Industrial Valves & Fittings_2,Regular Running,Proxy Issue,
680,Infinite Cables,Infinite Cables,Regular Running,,
681,INGUN Pruefmittelbau GmbH,INGUN Pruefmittelbau GmbH,Regular Running,------,
682,InLine,InLine,Regular Running,------,
683,Inmark Packaging,Inmark Packaging,Regular Running,------,
684,Integra Optics,Integra Optics,Regular Running,------,
685,Integrated Power Designs,Integrated Power Designs,Regular Running,------,
686,Integrated Silicon Solution Inc,Integrated Silicon Solution Inc,Regular Running,Waiting Time,
687,Intel,Intel_LC,Regular Running,proxy issue,
688,International Light Technologies,International Light Technologies,Regular Running,Site Unstable,
689,Interpower,Interpower,Regular Running,------,
690,Intronics b.v.,Intronics b.v.,Regular Running,------,
691,InvenSense,InvenSense,Regular Running,------,
692,Inventek Systems,Inventek Systems,Regular Running,------,
693,Inventronics Inc,INVENTRONICS (Hangzhou)_Inc,Regular Running,Proxy Issue,
694,I-PEX Inc,I-PEX Inc,Regular Running,------,
695,IRISO Electronics,IRISO Electronics,Regular Running,------,
696,Ironwood Electronics,Ironwood Electronics,Regular Running,------,
697,Isahaya Electronics Corporation,Isahaya Electronics Corporation,Regular Running,------,
698,Isocom Components,Isocom Components,Regular Running,------,
699,Isodyne Inc,Isodyne Inc,Regular Running,------,
700,iStarUSA,iStarUSA,Regular Running,------,
701,ITALTRONIC Srl,ITALTRONIC Srl,Regular Running,------,
702,"ITG Electronics, Inc","ITG Electronics, Inc",Regular Running,------,
703,ITT Inc,ITT Corporation,SW Issue,Proxy Issue,Regular Running
704,ITW Pro Brands,ITW Pro Brands,Regular Running,------,
705,J. Schmalz GmbH,J. Schmalz GmbH,Regular Running,------,
706,"J.W. Winco, Inc",J.W. Winco,Regular Running,------,
707,Jaco International Corporation,Jaco International Corporation,Regular Running,------,
708,"Japan Aviation Electronics Industry, Ltd",Japan Aviation Electronics Industry,Regular Running,,
709,Japan Display Inc,Japan Display Inc,Regular Running,,Regular Running
710,Jean Mueller,Jean Mueller,Regular Running,,
711,Jergens,Jergens,Regular Running,------,
712,"Jiangsu Changjing Electronics Technology Co., Ltd",Jiangsu Changjing Electronics Technology Co_Ltd,Regular Running,------,
713,Jinan Jingheng,Jinan Jingheng,Regular Running,Proxy Issue,
714,JKL Components,JKL Components,Regular Running,------,
715,Johanson Dielectrics,Johanson Dielectrics,Regular Running,,
716,John Guest,John Guest,Regular Running,------,
717,"J.S.T.MFG.CO.,LTD",JST Manufacturing_RoHS,Regular Running,------,
718,Juniper Networks,Juniper Networks,Regular Running,------,
719,K.A. Schmersal GmbH & Co. KG,K.A. Schmersal GmbH & Co. KG,Regular Running,------,
720,kabeltronik Arthur Volland GmbH,kabeltronik Arthur Volland GmbH,Regular Running,------,
721,"KAI SUH SUH ENTERPRISE CO., LTD",KAI SUH SUH ENTERPRISE CO_LTD,Regular Running,odd structure tables,
722,"Kang Yang Hardware Enterprises Co.,LTD",KANG YANG Hardware Enterprise,Regular Running,,
723,"KDE Direct, LLC","KDE Direct, LLC",Regular Running,------,
724,KEC Corporation,KEC Group,Regular Running,------,
725,KEL Corporation,KEL Corporation,Regular Running,Waiting Time,
726,Kellner & Kunz AG,Kellner & Kunz AG,Regular Running,------,
727,"Kepco, Inc",Kepco,Regular Running,------,
728,Kerb-Konus-Vertriebs-GmbH,Kerb-Konus-Vertriebs GmbH,Regular Running,------,
729,Kester,Kester,Regular Running,------,
730,"Keysight Technologies, Inc","Keysight Technologies, Inc",Regular Running,Site Issue,
731,Keystone Electronics Corp,Keystone Electronics,Regular Running,------,
732,"Kingbright Company, LLC",Kingbright,Regular Running,------,
733,Kingstate Electronics,Kingstate Electronics,Regular Running,------,
734,Kingston Technology,Kingston Technology,Regular Running,------,
735,"KITAGAWA INDUSTRIES CO.,LTD","KITAGAWA INDUSTRIES America, Inc",Regular Running,------,
736,Klein Tools,Klein Tools,Regular Running,------,
737,Klueber Lubrication Muenchen SE & Co. KG,Klueber Lubrication Muenchen SE & Co. KG,Regular Running,------,
738,KNIPEX TOOLS LP,KNIPEX TOOLS LP,Regular Running,Proxy Issue/,Regular Running
739,Knowles Corporation,Knowles Corporation,Regular Running,------,
740,Korea Electric Terminal,Korea Electric Terminal,Regular Running,------,
741,Kubler,Kubler,Regular Running,------,
742,"Kuriyama of America, Inc","Kuriyama of America, Inc",Regular Running,------,
743,Kurt J. Lesker Company,Kurt J. Lesker Company,Regular Running,Waiting Time,
744,KVT-Fastening,KVT-Fastening,Regular Running,------,
745,"Kyoto Tool Co., Ltd","Kyoto Tool Co., Ltd",Regular Running,------,
746,Kyzen Corporation,Kyzen Corporation,Regular Running,------,
747,Laird Connectivity,Laird Connectivity,Stopped,the supplier changed his domain,Regular Running
748,Laird Performance Materials,Laird Performance Materials,Regular Running,------,
749,Laird Thermal Systems,Laird Thermal Systems,Regular Running,------,
750,Lake Cable LLC,Lake Cable LLC,Regular Running,------,
751,Landefeld Druckluft und Hydraulik GmbH,Landefeld,Regular Running,------,
752,Lanner Electronics,Lanner Electronics,Regular Running,------,
753,Lantech,Lantech,Regular Running,------,
754,Lantronix Inc,Lantronix,Regular Running,Proxy Issue,
755,Lapp Group,Lapp Group,Regular Running,------,
756,Lascar Electronics,Lascar Electronics,Regular Running,,
757,L-com,L-com,Pending data team,Site update need new simulation,Regular Running
758,LEDdynamics,LEDdynamics,Regular Running,------,
759,LEDtronics,LEDtronics,Regular Running,------,
760,Legrand AV Inc,Legrand AV Inc,Pending Data Team,Site Updates need new simulation,Regular Running
761,Lelon Electronics,Lelon Electronics,Regular Running,------,
762,LEM International SA,LEM Group,Regular Running,------,
763,Leopard Imaging,Leopard Imaging,Regular Running,,
764,Leuze electronic GmbH + Co. KG,Leuze electronic GmbH + Co. KG,Regular Running,,
765,Lindy Electronics Ltd,LINDY Electronics,Regular Running,------,
766,Linemaster Switch Corporation,LINEMASTER Switch,Regular Running,------,
767,LinMot,LinMot,Regular Running,------,
768,Lite-On Technology,Lite-On Technology,Regular Running,------,
769,Littelfuse,Littelfuse_Reach,Regular Running,Proxy Issue,
770,LMB/Heeger,LMB_Heeger,Regular Running,------,
771,Locatory.com,Locatory.com,Pending data team,site update need new simulation,Regular Running
772,Logical Systems,Logical Systems,Regular Running,------,
773,LOVATO Electric S.p.A.,LOVATO Electric,Regular Running,------,
774,LSI Computer Systems,LSI Computer Systems,Regular Running,------,
775,"Ludlum Measurements, Inc",Ludlum Measurements_Inc,Regular Running,------,
776,Lumberg Holding GmbH & Co. KG,Lumberg,Regular Running,------,
777,Lumex,Lumex_Env,Pending Data Team,Site Updates need new simulation,Regular Running
778,Lumileds,Lumileds,Regular Running,Most of parts not found,
779,Lutronic Holding GmbH,Lutronic Holding GmbH,Regular Running,------,
780,M.G. Chemicals,M.G. Chemicals,Regular Running,------,
781,MAC Panel,MAC Panel,Regular Running,------,
782,MacDermid Alpha Electronics Solutions,MacDermid Alpha Electronics Solutions,Regular Running,------,
783,"Mac-Eight Co.,Ltd",Mac-Eight,Regular Running,------,
784,MACOM Technology Solutions,MA-COM Technology Solutions_Rohs,Regular Running,------,
785,Magnetics,Magnetics,Regular Running,------,
786,Major League Electronics,Major League Electronics,Regular Running,------,
787,Marathon Special Products,Marathon Special Products,Regular Running,-----,
788,Marinco,Marinco,Regular Running,------,
789,Martin Sprocket & Gear,Martin Sprocket & Gear,Regular Running,,
790,Mascot AS,Mascot AS,Regular Running,------,
791,Master Appliance,Master Appliance,Regular Running,,
792,Master Lock,Master Lock,Regular Running,------,
793,Mastervolt,Mastervolt,Regular Running,------,
794,Matrix Orbital,Matrix Orbital,Regular Running,------,
795,Matsusada Precision,Matsusada Precision,Regular Running,------,
796,MAURIN Group,MAURIN Group,Regular Running,------,
797,MaxLinear,"MaxLinear, Inc",Regular Running,------,
798,maxon motor ag,maxon motor ag,Regular Running,------,
799,"MDC Precision, LLC",MDC Vacuum Products LLC,Regular Running,------,
800,Mean Well Enterprises,Mean Well Enterprises,Regular Running,DA-535/Proxy issue,
801,MECA Electronics,MECA Electronics,Regular Running,------,
802,MECATRACTION,MECATRACTION,Regular Running,------,
803,Melexis,Melexis,Regular Running,------,
804,"Memory Protection Devices, Inc",Memory Protection Devices,Regular Running,------,
805,Mencom Corporation,Mencom Corporation,Regular Running,DA-535,
806,MENTOR GmbH & Co. Praezisions-Bauteile KG,MENTOR GmbH & Co_Scrub,Regular Running,------,
807,Merck Millipore,Merck Millipore,Regular Running,Proxy Issue,
808,Meritek Electronics Corporation,Meritek Electronics Corporation,Regular Running,Proxy Issue,
809,Metaltex,Metaltex,Regular Running,------,
810,Metcal,Metcal,Regular Running,------,
811,METCASE Enclosures,METCASE Enclosures,Regular Running,------,
812,METZ CONNECT,METZ CONNECT,Regular Running,------,
813,"Microdiode Electronics (Jiangsu) Co., Ltd",Microdiode Electronics (Jiangsu) Co_Ltd,Regular Running,,
814,"Micrometals, Inc","Micrometals, Inc",Regular Running,------,
815,Micro-Mode Products,Micro-Mode Products,Regular Running,------,
816,"Micro-Star INTL CO., LTD","Micro-Star INTL CO., LTD",Regular Running,,
817,"Microwave Communications Laboratories, Inc",Microwave Communications Laboratories_Inc,Regular Running,,
818,Midas Components,Midas Components,Regular Running,,Regular Running
